Machine_name	vCPUs1	Memory_(GB)	Max_number_of_persistent_disks_(PDs)2	Max_total_PD_size_(TB)	Local_SSD	Maximum_egress_bandwidth_(Gbps)3 price_on_demand price_preembtible
n1-highcpu-32	32	28.8	128	257	Yes	324 $1.1335776	$0.2386496
n1-highcpu-64	64	57.6	128	257	Yes	324 $2.2671552	$0.4772992
n1-highcpu-96	96	86.4	128	257	Yes	324 $3.4007328	$0.7159488
c2-standard-4	4	16	128	257	Yes	10 $0.2088	$0.0505
c2-standard-8	8	32	128	257	Yes	16 $0.4176	$0.1011
c2-standard-16	16	64	128	257	Yes	32 $0.8352	$0.2021
c2-standard-30	30	120	128	257	Yes	32 $1.5660	$0.3790
c2-standard-60	60	240	128	257	Yes	32 $3.1321	$0.7579
m2-ultramem-2084	208	5888	128	257	No	325 $25.453	$14.579
m2-ultramem-4164	416	11776	128	257	No	325 $50.907	$29.159
m2-megamem-4164	416	5888	128	257	No	325 $30.387	$17.412
m1-ultramem-40	40	961	128	257	No	32 $6.3039	$1.3311
m1-ultramem-80	80	1922	128	257	No	32 $12.6078	$2.6622
m1-ultramem-160	160	3844	128	257	No	32 $25.2156	$5.3244
a2-highgpu-1g	12	85	128	257	Yes	24 $3.673385	$1.102016
a2-highgpu-2g	24	170	128	257	Yes	32 $7.34677	$2.204031
a2-highgpu-4g	48	340	128	257	Yes	50 $14.69354	$4.408062
a2-highgpu-8g	96	680	128	257	Yes	100 $29.38708	$8.816124
a2-megagpu-16g	96	1360	128	257	Yes	100 $55.739504	$16.721851
